collegeCode,collegeName,status,homeUniversity,district,minority,feesPdfUrl
02131,"Shree Tuljabhavani College of Engineering, Tuljapur",Un-Aided Home University,Dr. Babasaheb Ambedkar Marathwada University,Dharashiv,Non Minority,
02133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Un-Aided Home University,Dr. Babasaheb Ambedkar Marathwada University,Beed,Non Minority,
02134,"Peoples Education Society's College of Engineering, Aurangabad",Un-Aided Autonomous Home University,Autonomous Institute,Chhatrapati Sambhajinagar,Non Minority,
02135,"Hi-Tech Institute of Technology, Aurangabad",Un-Aided Home University,Dr. Babasaheb Ambedkar Marathwada University,Chhatrapati Sambhajinagar,Non Minority,
02136,"Aditya Engineering College , Beed",Un-Aided Home University,Dr. Babasaheb Ambedkar Marathwada University,Beed,Non Minority,
02137,"Nagnathappa Halge Engineering College, Parli, Beed",Un-Aided Home University,Dr. Babasaheb Ambedkar Marathwada University,Beed,Non Minority,
02138,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Un-Aided Home University,Dr. Babasaheb Ambedkar Marathwada University,Jalna,Non Minority,
02146,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Un-Aided Home University,Dr. Babasaheb Ambedkar Marathwada University,Dharashiv,Non Minority,
02189,"Vishweshwarayya Institute Of Engineering And Technology, Almala, Tq. Ausa, Dist. Latur",Un-Aided Home University,"Swami Ramanand Teerth Marathwada University, Nanded",Latur,Non Minority,
02250,"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",Un-Aided Home University,Dr. Babasaheb Ambedkar Marathwada University,Chhatrapati Sambhajinagar,Non Minority,
02252,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",Un-Aided Home University,"Swami Ramanand Teerth Marathwada University, Nanded",Parbhani,Non Minority,
02254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur",Un-Aided Home University,"Swami Ramanand Teerth Marathwada University, Nanded",Latur,Non Minority,
02282,"Mitthulalji Sarada Institute Of Technology, Nalwandi Road, Beed",Un-Aided Home University,Dr. Babasaheb Ambedkar Marathwada University,Beed,Non Minority,
02508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,Un-Aided Home University,"Swami Ramanand Teerth Marathwada University, Nanded",Nanded,Non Minority,
02516,International Centre Of Excellence In Engineering and Management (ICEEM),Un-Aided Home University,Dr. Babasaheb Ambedkar Marathwada University,Chhatrapati Sambhajinagar,Non Minority,
